Station,Coordinates,Link
0072 14th & Cambie,"(49.2591541350434, -123.11566300317531)",https://maps.app.goo.gl/34nygoFmJUw6v6To7
0073 Ontario & 5th,"(49.2668059, -123.1047506)",https://maps.app.goo.gl/xU2HFWf3NGNqPsfq8
0074 10th & Main,"(49.2620812, -123.1018465)",https://maps.app.goo.gl/oi1eVNQcNpPQLZUJA
0075 Arbutus & 10th,"(49.26318495734679, -123.15280282686798)",https://maps.app.goo.gl/HFLUs63UbBuvvqdK6
0076 Cypress & 4th,"(49.2682673, -123.1478672)",https://maps.app.goo.gl/WoPtfFJkoWVE5Wsu7
0077 Vanier Park,"(49.275912962578396, -123.14256410242189)",https://maps.app.goo.gl/8GTrxkWb52oWZdci8
0078 Nelson & Mainland,"(49.2765028, -123.1189009)",https://maps.app.goo.gl/FFkZD6UThPPCQXcC8
0079 Nelson & Richards,"(49.2777729, -123.1208527)",https://maps.app.goo.gl/UGGHZ5Un9CKZYAvy6
0081 7th & Heather,"(49.266060405303, -123.11937073571582)",https://maps.app.goo.gl/7Rx1ogfYgNatcjXWA
0082 Richards & Davie,"(49.2757543, -123.1243609)",https://maps.app.goo.gl/sMxuS63zQ5tMr2LMA
0083 Aquatic Centre,"(49.27832896007291, -123.13697200242179)",https://maps.app.goo.gl/CGDHG1Y1KqsE58DC7
0084 Beach & Broughton,"(49.281178, -123.139029)",https://maps.app.goo.gl/7SQeNVyvK81gtkfVA
0087 Broughton & Davie,"(49.2841199815009, -123.13619024649817)",https://maps.app.goo.gl/GW7V4w1Jjut7731k9
0088 Harwood & Bute,"(49.2802978, -123.1352757)",https://maps.app.goo.gl/ZL64nfzngUaF685i6
0089 Burrard & Drake,"(49.2781301, -123.1305274)",https://maps.app.goo.gl/AJQEUzUJqJxu1UW77
0092 Chilco & Barclay,"(49.2918468, -123.1407852)",https://maps.app.goo.gl/AztbNiUBRoDSwCqs6
0093 Chilco & Robson,"(49.2932024, -123.1386077)",https://maps.app.goo.gl/DVdsYNLiu74mxsas7
0096 Nicola & Robson,"(49.2881444, -123.1320198)",https://maps.app.goo.gl/vJsjLBShh9Wr17TKA
0098 Carrall & Hastings,"(49.2810403, -123.1044111)",https://maps.app.goo.gl/a4njfCiKC5TiyhHg9
0099 šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery North Plaza,"(49.2846098939602, -123.12044468226128)",https://maps.app.goo.gl/PrmJLVbogDopt9f89
0100 Stanley Park - Prospect Point,"(49.312725888332686, -123.14279953091444)",https://maps.app.goo.gl/UWSPRahQzQzFNt3Z7
0101 Stanley Park - Vancouver Aquarium,"(49.299446690892594, -123.13029163125633)",https://maps.app.goo.gl/pMbVvfBX4EqGYiKK6
0102 Stanley Park - Second Beach North,"(49.296039686859736, -123.15058320425774)",https://maps.app.goo.gl/33p3obQnGMWCMC9U6
0103 Stanley Park - Third Beach Parking Lot,"(49.30321351242156, -123.15569516866383)",https://maps.app.goo.gl/wMAy9XDrqX28UG45A
0104 Stanley Park - Second Beach South,"(49.294944154032535, -123.14892967363699)",https://maps.app.goo.gl/2jeCNyViu6imx8HY9
0105 Stanley Park - Totem Poles,"(49.29923738044803, -123.12144447937625)",https://maps.app.goo.gl/HT8PkhM52RVvXoUv6
0106 Heather & 14th,"(49.260101240659985, -123.12033857934635)",https://maps.app.goo.gl/AQzgnzf6aLz3v8Cz5
0107 8th & Ontario,"(49.264031774991814, -123.1052244285798)",https://maps.app.goo.gl/t8KF9TmaESRnfuV87
0108 1st & Chestnut,"(49.2707276, -123.1461997)",https://maps.app.goo.gl/N1SBdMqddB14jq68A
0109 7th & Arbutus,"(49.2656102, -123.1525342)",https://maps.app.goo.gl/5BUGLMC26b4jtgBSA
0110 5th & Arbutus,"(49.267233, -123.1531863)",https://maps.app.goo.gl/8G5pLEw3cPdZe5N48
0112 10th & Oak,"(49.26276706243341, -123.1263489235781)",https://maps.app.goo.gl/QrAm5Kb49q2PGgc86
0113 Arbutus & 16th,"(49.2576909, -123.1532696)",https://maps.app.goo.gl/7bRifcLou7RHGtEh6
0114 Cypress & 14th,"(49.2592367, -123.1482565)",https://maps.app.goo.gl/eB2aT57a1p74Xh5ZA
0115 Cypress & 16th,"(49.2575397, -123.1484736)",https://maps.app.goo.gl/KzAAh78PeHgobeGT9
0119 3rd & Quebec,"(49.26834298033376, -123.10311500612258)",https://maps.app.goo.gl/nqsQegnJNGAwbRaQ6
0122 Haro & Denman,"(49.2911459857666, -123.13614733115519)",https://maps.app.goo.gl/QmJjJ4vQZEui3txd8
0123 Georgia & Thurlow,"(49.2860549, -123.1241903)",https://maps.app.goo.gl/98nk22mTXuskmyKLA
0124 Richards & Cordova,"(49.2844582, -123.1111846)",https://maps.app.goo.gl/5Pa8ekg6Wjt6Be2k9
0126 Thurlow & Pendrell,"(49.2808952, -123.130541)",https://maps.app.goo.gl/fuycjmgZuj96nq7Z9
0129 Richards & Robson,"(49.2803018, -123.1177147)",https://maps.app.goo.gl/Pup1Ps2znxSy5R2E7
0130 Heather & 16th,"(49.25676, -123.1200251)",https://maps.app.goo.gl/Tc78YJZcwtH3daeu5
0132 14th & Ontario,"(49.258783883228645, -123.10476859419327)",https://maps.app.goo.gl/AZQmSn9E8uu87Gb18
0133 Ontario & 16th,"(49.2568643, -123.1051257)",https://maps.app.goo.gl/Q9TyobNr66CJKCt88
0134 14th & Main,"(49.2583966, -123.1007345)",https://maps.app.goo.gl/gRj49PqThVzcYKsS9
0136 David Lam Park - West,"(49.271530026217526, -123.1260353260855)",https://maps.app.goo.gl/TkzarBcejStDHzjX6
0137 Beach & Seymour,"(49.2735405, -123.1298518)",https://maps.app.goo.gl/nbpsw45TFkMpTzJB8
0138 Richards & Helmcken,"(49.2771762, -123.1225069)",https://maps.app.goo.gl/YmagKhsf8TACwuiR6
0139 Burrard & 4th,"(49.2677813, -123.1457589)",https://maps.app.goo.gl/ymssj44bcyFJjinM7
0140 Burrard & 7th,"(49.2652965, -123.1458088)",https://maps.app.goo.gl/1npb8ZMezuPcJCb36
0142 Beach & Cardero,"(49.28378405183608, -123.14211256382983)",https://maps.app.goo.gl/g6VmvMpi1SGrSY2u8
0143 South False Creek Seawall,"(49.2676184, -123.1277051)",https://maps.app.goo.gl/U93DhfcH2STaiV998
0144 Wylie & 2nd,"(49.26924995007328, -123.11356358443396)",https://maps.app.goo.gl/1xbCN9DFgnQy1fp86
0147 Chestnut & McNicoll,"(49.2759635, -123.1460073)",https://maps.app.goo.gl/RMrcDZwdwCyswvuVA
0148 Creekside Park North,"(49.2756105, -123.102698)",https://maps.app.goo.gl/Qhxu4b67Z6MT8ByG8
0150 Alexander & Main,"(49.2841519, -123.0999589)",https://maps.app.goo.gl/ntnoNAHAtGYXw7Rg9
0152 Arbutus Greenway & 14th,"(49.2589484, -123.152613)",https://maps.app.goo.gl/kKjnohUDvi2s2tmy7
0153 Arbutus Greenway & Fir,"(49.26723164781529, -123.14117677659085)",https://maps.app.goo.gl/Fhx9yG5so1vk3UTCA
0155 Arbutus & McNicoll,"(49.27804880285498, -123.15138464752091)",https://maps.app.goo.gl/r6Y9YowMqF1QrtBQ8
0159 Vine & 4th,"(49.2683741, -123.157433)",https://maps.app.goo.gl/yi3dUEZ3c3LS9yKe9
0161 Alexander & Dunlevy,"(49.2840577, -123.095047)",https://maps.app.goo.gl/cdrJjniEybwJDLqa9
0166 Alder & 11th,"(49.2617669, -123.1314892)",https://maps.app.goo.gl/FSLPwDDYjd5nHxLp9
0170 8th & Yukon,"(49.2639535, -123.1126594)",https://maps.app.goo.gl/PENfNqZ6p6ziEBPV7
0171 Yukon & 6th,"(49.26713629766202, -123.11302274906645)",https://maps.app.goo.gl/WMh9rcswZ7iD3fnU8
0172 10th & Columbia,"(49.2627390562616, -123.10913987104188)",https://maps.app.goo.gl/tXcJ28e6YD2H33QB8
0173 Columbia & 1st,"(49.2699811, -123.1095854)",https://maps.app.goo.gl/ezNsHyvuU5Q1gWEd7
0174 1st & Manitoba,"(49.27041898392465, -123.10651010242215)",https://maps.app.goo.gl/rde17Zvb3WvN1VNb9
0176 10th & Ontario,"(49.26354803375647, -123.10495467282134)",https://maps.app.goo.gl/kYoDnCskhjPq5Gx28
0177 Quebec & 1st,"(49.27060417070058, -123.1027931410502)",https://maps.app.goo.gl/tVz6hUFWNn9FxRZf8
0179 11th & Kingsway,"(49.2611458, -123.0974366)",https://maps.app.goo.gl/MDfHYCagADbwL95H6
0180 Columbia & 14th,"(49.2589114, -123.1095676)",https://maps.app.goo.gl/pfMQWgx4zK1AhrCXA
