Station,Coordinates,Link
0526 29th & Cambie,"(49.2451129, -123.1162559)",https://maps.app.goo.gl/Arvdb3Mq5kBtekru8
0531 18th & Cambie,"(49.2548234, -123.1148079)",https://maps.app.goo.gl/VqS4XGNBPJBYBTG96
0532 22nd & Cambie,"(49.2516355, -123.1225685)",https://maps.app.goo.gl/9JBNj8FFqK4jBDkn8
0554 Ontario & 23rd,"(49.24982702203195, -123.10504464660185)",https://maps.app.goo.gl/hKJY41giUaPXdWqf9
0557 30th & Ontario,"(49.2433945, -123.104914)",https://maps.app.goo.gl/pAuzfzfq6qmVYoDH6
0561 20th & Main,"(49.2527004, -123.101258)",https://maps.app.goo.gl/P7xCpW9jsfevHNSW9
0563 22nd & Main,"(49.25125094870104, -123.10139097000348)",https://maps.app.goo.gl/9hudrV9PiwKXyQ1J8
0565 27th & Main,"(49.24742811945479, -123.10168847514333)",https://maps.app.goo.gl/YAbBts7YXjYPvpfu9
0611 Wall & Eton,"(49.28835974049902, -123.06107140851543)",https://maps.app.goo.gl/ubbG88EbSxYJ3rPe6
0621 Lakewood & Oxford,"(49.28570094059109, -123.0616071889287)",https://maps.app.goo.gl/bCcMJkD9kGzJ2YZx9
0631 Lakewood & Triumph,"(49.284124614121865, -123.06164440188009)",https://maps.app.goo.gl/BTEYhKc24pKH2amFA
0642 Franklin & Nanaimo,"(49.282234980165605, -123.05699881600219)",https://maps.app.goo.gl/bcrAqYFpGGLr6oKx7
0715 Trimble & 8th,"(49.26637088513888, -123.20618269270258)",https://maps.app.goo.gl/D52NGp7XywheyUWB7
0716 Sasamat & 10th,"(49.264151996994904, -123.20915454475092)",https://maps.app.goo.gl/piKMsH2gxNtSxmZf6
1002 PNE - Hastings & Windermere,"(49.28158015151964, -123.03597219553464)",https://maps.app.goo.gl/U1Dwb33Gp1TFfTgU8
2132 IK Barber Learning Centre,"(49.2676589832246, -123.25221808707906)",https://maps.app.goo.gl/ivMPDMNdvfdEn5eZ6
2143 War Memorial Gym,"(49.266796, -123.24763482487361)",https://maps.app.goo.gl/xYyo8QZb15Hrprbr5
2156 Pharmaceutical Sciences,"(49.26474842889402, -123.2430141715432)",https://maps.app.goo.gl/9nmo33H7oHMNYpD68
