Station,Coordinates
0078 Nelson & Mainland,"(49.2765028, -123.1189009)"
0079 Nelson & Richards,"(49.2777729, -123.1208527)"
0081 7th & Heather,"(49.2650786, -123.1194282)"
0082 Richards & Davie,"(49.2757543, -123.1243609)"
0083 Aquatic Centre,"(49.2781965, -123.1369457)"
0084 Beach & Broughton,"(49.281178, -123.139029)"
0087 Broughton & Davie,"(49.2837789, -123.1360038)"
0088 Harwood & Bute,"(49.2802978, -123.1352757)"
0089 Burrard & Drake,"(49.2781301, -123.1305274)"
0092 Chilco & Barclay,"(49.2918468, -123.1407852)"
0093 Chilco & Robson,"(49.2932024, -123.1386077)"
0096 Nicola & Robson,"(49.2881444, -123.1320198)"
0098 Carrall & Hastings,"(49.2810403, -123.1044111)"
0099 šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery North Plaza,"(49.2831979, -123.1204825)"
0100 Stanley Park - Prospect Point,"(None, None)"
0101 Stanley Park - Vancouver Aquarium,"(49.2992547, -123.1303286)"
0102 Stanley Park - Second Beach North,"(49.2953393, -123.1504703)"
0103 Stanley Park - Third Beach Parking Lot,"(49.3026103, -123.1556398)"
0104 Stanley Park - Second Beach South,"(49.2943135, -123.1487139)"
0105 Stanley Park - Totem Poles,"(49.2986558, -123.1212092)"
0106 Heather & 14th,"(49.2592543, -123.120086)"
"0107 8th & Ontario, Vancouver","(49.2638169, -123.1052878)"
0108 1st & Chestnut,"(49.2707276, -123.1461997)"
0109 7th & Arbutus,"(49.2656102, -123.1525342)"
0110 5th & Arbutus,"(49.267233, -123.1531863)"
0112 10th & Oak,"(49.2622734, -123.12616)"
0113 Arbutus & 16th,"(49.2576909, -123.1532696)"
0114 Cypress & 14th,"(49.2592367, -123.1482565)"
0115 Cypress & 16th,"(49.2575397, -123.1484736)"
0119 3rd & Quebec,"(49.268217, -123.1030597)"
0122 Haro & Denman,"(49.2905224, -123.136222)"
0123 Georgia & Thurlow,"(49.2860549, -123.1241903)"
0124 Richards & Cordova,"(49.2844582, -123.1111846)"
0126 Thurlow & Pendrell,"(49.2808952, -123.130541)"
0129 Richards & Robson,"(49.2803018, -123.1177147)"
0130 Heather & 16th,"(49.25676, -123.1200251)"
"0132 14th & Ontario, Vancouver","(49.2584988, -123.1048152)"
0133 Ontario & 16th,"(49.2568643, -123.1051257)"
0134 14th & Main,"(49.2583966, -123.1007345)"
0136 David Lam Park - West,"(49.2709252, -123.1259935)"
0137 Beach & Seymour,"(49.2735405, -123.1298518)"
0138 Richards & Helmcken,"(49.2771762, -123.1225069)"
0139 Burrard & 4th,"(49.2677813, -123.1457589)"
0140 Burrard & 7th,"(49.2652965, -123.1458088)"
0142 Beach & Cardero,"(49.2832577, -123.1422531)"
0143 South False Creek Seawall,"(49.2676184, -123.1277051)"
0144 Wylie & 2nd,"(-26.1980722, 28.2605653)"
0147 Chestnut & McNicoll,"(49.2759635, -123.1460073)"
0148 Creekside Park North,"(49.2756105, -123.102698)"
0150 Alexander & Main,"(49.2841519, -123.0999589)"
0152 Arbutus Greenway & 14th,"(49.2589484, -123.152613)"
